Placement_ID|placement_name|alpha|beta|max_x_val|max_y_val|recommended_weekly_spend|calc_type|n
202203294|NAT_YAHOO_DIS_MBW_1X1_1200X627_SS_OV_AOL_BEH_NONE_PERS_NONE_NTL_NONE_NATIVE|21247.2|0.000111310798612|12508.8|17706.0|307.6|3|8
206307063|BAN_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_OOL_BEH_NONE_PERS_NONE_NTL_NONE_DISPLAYF3554ETATROTINTER|2284.8|0.00163943917544|1092.91|1904.0|301.24|3|3
212378341|CSK_CNET_DIS_MBW_1X1_736X368_SS_V_PSBL_CXL_NONE_APURL_NONE_NTL_NONE_FLEX(PMCK0M)|16017.6|0.000149313289102|12000.0|13348.0|299.61|3|8
206283700|BAN_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_OOL_BEH_NONE_PERS_NONE_NTL_NONE_DISPLAYF3554HHIROTINTER|2142.0|0.0018476128043|969.77|1785.0|298.32|3|4
202260864|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_RESPONSIVEDISPLAYF3554HHI|2464.28560604|0.00139878435787|2776.98|2456.0|294.89|0|5
202234447|BAN_PANDORA_DIS_MOB_300X250_300X250_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_MOBDISPLAYSLA3554IRBAN|2125.2|0.0018418222251|885.5|1771.0|293.17|2|6
206824890|BAN_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_OOS_BEH_NONE_PERS_NONE_NTL_NONE_DISPLAYF3554HHIROTINTER(PKGS22)|2848.8|0.00109997678857|1192.18|2374.0|288.8|3|8
152554802|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_OV_MOS_DEMO_NONE_NONE_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554HHI|2116.88455929|0.00176151339047|1751.2|2073.0|278.32|0|6
152557938|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_OV_MOS_DEMO_NONE_NONE_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554HTTF|1991.82818775|0.00191680423348|1757.19|1966.0|269.25|0|7
151302110|BAN_PANDORA_DIS_MOB_1X1_1X1_DCM_OV_QSA_DEMO_NONE_NONE_NONE_NTL_NONE_MOBDISPLAYHHIROTINTER|12955.5970085|0.000184883350075|11828.15|12470.0|258.19|0|7
